Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
Silvio Pellico 4 Milan City Center 20121 Milan Italy,254,4/7/2016,9.3,Room Mate Giulia, United Arab Emirates ,No Negative,0,2011, The location is great and the staff are very Kind and friendly They have Arabic speaking employee who helped us a lot ,24,4,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",483 day,45.4651371,9.1895249
Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,9/15/2016,8.6,NH Collection Amsterdam Barbizon Palace, Saudi Arabia , The elevator doesn t match a 5 star hotel missing buttons etc ,14,2865, The location is great Very close to the central station and the red light district It is a great choice if you are interested in Amsterdam s night life you can find a lot of bars pubs etc just around the hotel ,44,12,8.8,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",322 day,52.3764175,4.9002201
Chelsea Harbour Hammersmith and Fulham London SW10 0XG United Kingdom,326,11/26/2016,8.6,The Chelsea Harbour Hotel, United Kingdom , Expensive car park but this is Chelsea,8,1032, Excellent checkin and check out Excellent reception staff Wonderful suite great mini bar They sent a small birthday cake for my partner and it was wonderful,27,26,10.0,"[' Leisure trip ', ' Couple ', ' Chelsea Double Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",250 day,51.4756558,-0.1813888
8 12 Manchester Street Westminster Borough London W1U 4DG United Kingdom,140,7/12/2016,8.8,Ten Manchester Street Hotel, United Kingdom ,No Negative,0,478, All lovely crisp white bed linen on super comfy bed Bathroom towels robes equally as good Staff all very friendly helpful Hotel is tucked away a little so road noise ,32,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",387 day,51.5188,-0.153839
97 avenue des Ternes 17th arr 75017 Paris France,87,1/4/2017,8.6,La Villa des Ternes, United Kingdom , Poor wifi service breakfast was cold,7,937,No Positive,0,5,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",211 day,48.8803479,2.2858242
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,2/11/2016,8.0,Doubletree by Hilton London Kensington, Israel , Breakfast Egg pouder thick bacon but overal found what to eat,12,2367, Perfect bed clean room top location,7,5,10.0,"[' Business trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",539 day,51.4925138,-0.1787917
31 33 Argyle Street Camden London WC1H 8EP United Kingdom,219,8/7/2016,8.1,Comfort Inn Suites Kings Cross St Pancras, Denmark , Eggs were boiled green,5,1116, Nice rooms ok breakfast No luxury but very Nice Palace We will come back,15,1,8.3,"[' Leisure trip ', ' Family with older children ', ' 3 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",361 day,51.5289499,-0.1232979
Bergara 2 4 Eixample 08002 Barcelona Spain,334,4/19/2017,8.5,Hotel Regina, Australia , Nothing,2,2775, Good location and access to Ramblas and Metro Easy walking distance to quite a few sights Friendly staff and clean rooms Tea making facilities in room ,28,24,8.8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",106 day,41.3858891,2.1681652
140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,10/17/2016,8.7,The Bailey s Hotel London, United Kingdom , There wasn t anything I didn t like,9,2485, Good location friendly staff and beautiful setting,8,6,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",290 day,51.4938733,-0.1824963
Lakeside Way Brent London HA9 0BU United Kingdom,1427,5/22/2017,8.8,Hilton London Wembley, Germany , the drunks in the bar,6,4305, The staff were great,5,2,10.0,"[' Leisure trip ', ' Couple ', ' King Guest Room ', ' Stayed 1 night ']",73 days,51.5576962,-0.2835263
Via Pietro Gaggia 3 Ripamonti Corvetto 20139 Milan Italy,269,4/5/2017,8.1,Starhotels Business Palace, Latvia , WiFi doesn t work properly neither in room nor lobby signal was low Tried with 2 different smartphones and PC,21,5265,No Positive,0,2,7.5,"[' Leisure trip ', ' Family with young children ', ' Junior Suite 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",120 day,45.43784,9.230901
South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,3/15/2016,9.0,Hilton London Canary Wharf, United Kingdom , Room was a bit warm Had to keep turning down temp Toilet paper holder was irritating Pillow very soft but that was actually preferred over too hard Would love to see outlets near the bed or at least the usb outlets next to the bed instead of across the room at the desk Also would be helpful if we didn t have to sign into the wifi every few hours ,72,3040, Comfortable room with all the mod cons Location was top notch to get to the O2 Arena The room was clean and quiet ,25,2,8.8,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 3 nights ']",506 day,51.5007324,-0.01655
Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,7/24/2016,8.1,Amadi Park Hotel, Hong Kong , May be it s because of my last minute booking for the weekend stay the room price is way higher than what the hotel offers You may expect everything like a service apartment from the building layout to the rooms design to the staff service ,47,1615, Located in a relatively quiet street but still easy to get to the city center by tram,18,1,6.3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",375 day,52.364962,4.873495
Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,297,11/12/2015,8.3,Park Hotel, Austria , Check in only at 15 00 was not possible to get a room at 12 00 13 00,19,2027, Good location friendly personal,5,3,8.8,"[' Business trip ', ' Solo traveler ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",630 day,52.3613814,4.8832594
23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,11/16/2015,7.0,Henry VIII, United Kingdom ,No Negative,0,2937, value for money,4,30,9.2,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']",626 day,51.5124655,-0.182274
Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands,170,4/9/2016,8.2,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf, United Kingdom , The only thing that could have been better but unfortunately you could not help in that matter was the weather was very cold but hotel and room were lovely and warm and cosy,34,1593, I had a lovely meal I didn t eat breakfast the beds we re very comfortable the staff were first class and the rooms were kept clean and tidy,30,1,10.0,"[' Leisure trip ', ' Family with older children ', ' Amsterdam Street Art Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",481 day,52.4001813,4.8936653
Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,2/28/2016,8.5,The Mandeville Hotel, United Kingdom , I can imagine if I were staying in the double room I was in as part of a couple it would feel a bit small But it s a central London hotel so I suppose I d expect it Also no lock on the bathroom door which just felt a bit weird to me ,56,2300, The staff were friendly The room service dinner I ordered was delicious ,14,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 1 night ']",522 day,51.5165165,-0.1509735
Imperial Road Hammersmith and Fulham London SW6 2GA United Kingdom,360,6/22/2016,8.3,DoubleTree by Hilton London Chelsea, United Kingdom , All good,3,1181, Staff were particularly helpful and warm,7,16,10.0,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",407 day,51.475172,-0.1870629
Piazza Lima 2 Central Station 20124 Milan Italy,298,12/8/2015,8.5,Best Western Plus Hotel Galles, United Kingdom ,No Negative,0,3550, Staff were all very nice and friendly ,9,6,10.0,"[' Leisure trip ', ' Group ', ' Standard Triple Room ', ' Stayed 1 night ']",604 day,45.4805847,9.2117326
Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,404,7/27/2016,9.1,Hotel Stefanie, United States of America ,No Negative,0,3883, The breakfast spread is great and offers quite a variety Friendly staff and cleanliness made this a great place to relax The location is perfect walking distance to so many sights ,33,4,10.0,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",372 day,48.2142766,16.3801779
34 Lombard Road Battersea London SW11 3RF United Kingdom,472,5/10/2017,8.0,Rafayel Hotel Spa, United Kingdom , The bed would have been more comfortable if it was 2 x 3ft single beds joined together If every room was like this then it would be possible to offer twin rooms which I believe you don t currently offer My husband found the mattress collapsed when he laid at the edge Also I had asked for a quilt to be placed under the bottom sheet because of health reasons But instead another mattress cover was put in place I did mention it to the lady at reception She asked the staff but no one came to change it over I think there was a misunderstanding as to the difference between a mattress cover a quilt ,118,1378, The shuttle from train station was excellent though we waited at the wrong entrance as we hadn t been told otherwise I had asked for 4 pillows which I was given when prompted I had mentioned in an email to the hotel that my husband I were celebrating our 30th wedding anniversary When we arrived at our room we found 4 chocolates red petals on our bed plus a note wishing us a happy anniversary But best of all we had been given a room with a view of the river I had asked if it would be possible but didn t it would be possible at the rate we paid That really made me happy as I had pictured in my head that we would wake up in the morning looking at the water And we did Thank you so much The spa beautician made an excellent job of my eyebrows lashes She was super friendly explained everything she was doing ,164,4,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",85 days,51.4703604,-0.1779869
2 place Louis Armand 12th arr 75012 Paris France,224,1/29/2016,7.9,Mercure Paris Gare De Lyon TGV, China ,No Negative,0,2903, Best location close to Gare de Lyon There is a very nice restaurant nearby ,16,6,9.2,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",552 day,48.8442949,2.3730938
Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,289,10/14/2016,8.8,Capri by Fraser Barcelona, United Kingdom , when I entered my room the smell of hair tonics for guys is all over the room this is only one downside of the whole stay ,28,2988, perfectly perfect location good breakfast in variety and taste friendly and supportive staff,14,5,9.2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Studio ', ' Stayed 3 nights ']",293 day,41.3976233,2.188975
24 27 Bedford Place Bloomsbury Camden London WC1B 5JH United Kingdom,161,1/24/2017,8.6,Grange Beauchamp Hotel, United Kingdom , Room 13 was close to the main elevator and seemed to be under a very busy area of the hotel There was a lot of noise that kept us awake at times and affected the quality of the stay The location of this particular room felt like it shouldn t be used for guests ,56,761, Room was a good size Staff were friendly ,10,1,7.5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",191 day,51.5203266,-0.1245891
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,8/16/2015,7.5,Hilton London Metropole, Uganda , I booked as early as February 2015 through booking com However to my surprise when i arrived i was informed that you were fully occupied but after a very LONG EMBARRASSING discussion with the staff at the reception I was finally allowed access to my hotel room This affected my state of mind ,55,6977,No Positive,0,2,6.3,"[' Leisure trip ', ' Solo traveler ', ' King Hilton Guest Room ', ' Stayed 10 nights ']",718 day,51.5195688,-0.170521
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,12/16/2016,8.1,Strand Palace Hotel, United Kingdom , Nothing,2,9568, Excellent friendly service,4,3,10.0,"[' Leisure trip ', ' Family with young children ', ' Cosy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",230 day,51.5110993,-0.1208673
George Street Westminster Borough London W1H 5BJ United Kingdom,353,8/2/2016,8.1,Durrants Hotel, Switzerland , Nothing comes to mind ,6,1411, Old world charm Excellent location Traditional values in abundance courteous professional friendly ,14,4,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 1 night ']",366 day,51.5179386,-0.1529794
Rosell n 174 176 Eixample 08036 Barcelona Spain,164,5/11/2017,8.5,Bcn Urban Hotels Gran Rosellon, Romania , the bed not big enough and too tall if you have a kid 2yrs old ,17,2383, The room was nice clean and well equipped modern ,11,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Economy Double Room ', ' Stayed 3 nights ']",84 days,41.4226648,2.1464261
15 rue Edouard Manet 13th arr 75013 Paris France,152,12/20/2015,9.0,COQ Hotel Paris, Italy , Dark wallpaper in the room,6,1682, Nice small stlish hotel recently renovated Room relatively large by parisian standards Brand new facilities Very clean Very close to arts et metiers university,25,15,9.6,"[' Solo traveler ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",592 day,48.8328764,2.3572531
Tower Bridge Road Southwark London SE1 3UN United Kingdom,220,2/3/2016,8.3,Bermondsey Square Hotel A Bespoke Hotel, United Kingdom ,No Negative,0,844, Very comfortable and clean room Lovely views across London ,11,3,9.6,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",547 day,51.4991134,-0.0790969
Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,85,5/13/2016,9.3,Canal House, United Kingdom , Nothing it was all good ,7,491, The room was lovely bathroom and bedroom all in one space It had a beautiful outside space ,19,1,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",447 day,52.3763099,4.8862701
Piazza Fontana 3 Milan City Center 20122 Milan Italy,563,8/18/2016,8.6,Rosa Grand Milano Starhotels Collezione, Saudi Arabia , Nothing,2,4000, Every things was good ,6,18,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",350 day,45.4638223,9.1940273
130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,11/1/2015,8.3,Radisson Blu Edwardian Grafton, Oman , Small dark rooom ,5,2826, The room was horrible So small it finishes before it begins In that small room There was a partition next to cupboard The approach towards the cupboard was not possible There was no space to keep a single suitcase It wasn t at all worth of money In that small there ware three steps as well can you imagine the space,62,4,4.2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",641 day,51.5241386,-0.1380807
40 Marsh Wall Tower Hamlets London E14 9TP United Kingdom,102,6/15/2017,9.0,Novotel London Canary Wharf, Netherlands ,No Negative,0,320, Lovely room and great view from the bar Just perfect for a biz trip in Canary Wharf,18,21,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",49 days,51.5011704,-0.0232607
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,11/7/2015,6.7,Commodore Hotel, Malta , Although comfortable and clean the room and corridor carpets need replacement Was on the sixth floor and the lift motor made quite a noise Internet service from room was useless and in the lobby was extremely slow ,39,2400, The location although the tube station is one of least comfortable it is good Back after the hassle of centre London and the walk from station is of tranquillity One minute from beautiful Hyde Park Good selection of TV stations good sized bathroom and helpful staff ,48,4,7.1,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 2 nights ']",635 day,51.5124496,-0.1795215
252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,256,8/30/2016,9.4,Rosewood London, United Kingdom ,No Negative,0,1008, Just what you d expect from a top class hotel Staff very nice and helpful,16,1,10.0,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 1 night ']",338 day,51.5173303,-0.1180966
39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,18,1/11/2017,8.5,Grange Buckingham Hotel, Canada , Tiny bathroom with very high sided bath and fixed head shower ideal for a six footer but not for someone much shorter,23,128, Less than a five minute walk to the British Museum and an easy walk to Leicester Square and the theatre district Fridge tiny microwave and sink in room ,30,11,8.8,"[' Leisure trip ', ' Solo traveler ', ' Single Studio ', ' Stayed 7 nights ']",204 day,51.5196124,-0.1239628
13 Rue De La Paix 2nd arr 75002 Paris France,158,6/23/2017,8.4,H tel Westminster, United Kingdom , Room was very dated aircon really struggled and room service was extortionately expensive 66 for a burger side of veg and a glass of wine ,27,1374, Location was great,4,2,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41 days,48.8693409,2.3310263
Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,1/7/2016,8.5,Amba Hotel Marble Arch, United Arab Emirates , The manager Jeffrey and the cleaning team,8,3980, The back office service manager Nazmin,7,13,2.9,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",574 day,51.5144004,-0.1565506
Cardenal Reig 11 Les Corts 08028 Barcelona Spain,298,7/3/2016,7.7,Senator Barcelona Spa Hotel, United Kingdom , Tired and dated rooms smell in room throughout stay,10,3097,No Positive,0,5,5.0,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",396 day,41.3777977,2.1135971
50 rue de Richelieu 1st arr 75001 Paris France,62,8/8/2015,8.3,Golden Tulip Washington Opera, Honduras , Very little choice for Breakfast and WiFi left much to be desired ,14,542, Beautiful arranged rooms decor was very nice Staff was nice Walking distance from the Louvre and many restaurants ,20,9,8.3,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",726 day,48.866242,2.3373169
Via Venezia Giulia 8 20157 Milan Italy,76,6/19/2016,8.3,Klima Hotel Milano Fiere, United States of America , Location ,3,1785, Excellent size bed,4,2,7.5,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",410 day,45.5147974,9.116606
Avenida Diagonal 568 Sarri St Gervasi 08021 Barcelona Spain,63,5/13/2016,8.7,Wilson Boutique Hotel, Germany , the lift too slow,5,724, location room is large so is the bathroom clean,10,8,7.9,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ']",447 day,41.3944029,2.150194
Via San Raffaele 3 Milan City Center 20121 Milan Italy,112,9/1/2016,8.3,STRAF a Member of Design Hotels , United Kingdom , Hotel had no soul,5,1062, Location,2,5,6.7,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",336 day,45.465237,9.191247
Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,224,11/11/2016,7.7,NH Amsterdam Schiller, Kuwait ,No Negative,0,1667, Breakfast,2,4,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",265 day,52.3657092,4.8966912
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,5/22/2017,7.8,Park International Hotel, United Kingdom ,No Negative,0,1252, Great location for us very comfortable stay ,9,11,3.3,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']",73 days,51.4945144,-0.1866172
Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,137,12/17/2015,7.9,NH Amsterdam Caransa, Israel , The room maintenance is very poor ,8,966, Location,2,1,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",595 day,52.3664077,4.8969091
Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,272,7/24/2016,8.1,Amadi Park Hotel, Oman , Very few choices in breakfast,6,1615,No Positive,0,8,6.7,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",375 day,52.364962,4.873495
14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,11/29/2015,7.5,Saint Georges Hotel, United Kingdom , Could do with a lick of paint and corridors carpet abut tired but clean and comfortable Housekeeping call too early 745 on Saturday Please,25,2092, Excellent location Upgraded free by booking com,8,3,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",613 day,51.517839,-0.1424476
Catherine Grove Greenwich Greenwich London SE10 8BB United Kingdom,487,7/9/2017,8.8,Doubletree By Hilton London Greenwich, United Kingdom , No parking unless you book with doubletree ,9,1805,No Positive,0,32,7.9,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",25 days,51.474469,-0.019428
34 rue de Moscou 8th arr 75008 Paris France,141,3/15/2016,8.9,Best Western Premier Kapital Op ra, Germany , Small quite crowded room,5,1444, Great shower very comfy bed,6,21,9.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",506 day,48.8814425,2.3235592
George Street Westminster Borough London W1H 5BJ United Kingdom,353,1/5/2017,8.1,Durrants Hotel, France ,No Negative,0,1411, Old England charm the rooms are on the small side but functional clean and comfortable There are a number of cozy living areas in the hotel that give an at home feel to the place Cocktails in the evening in front of the fireplace at the George Bar were nice breakfast and tea were good but not on the cheap side Location is optimum very central and practical yet the street itself is very quiet We ll definitively be coming back on our next London trip ,88,12,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",210 day,51.5179386,-0.1529794
43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,540,5/12/2017,8.9,St George s Hotel Wembley, United Kingdom , I was sent to a room that was already occupied Bit embarrassing as the gentleman was in the shower at the time ,24,2274,No Positive,0,4,7.9,"[' Leisure trip ', ' Solo traveler ', ' Budget Single Room ', ' Stayed 1 night ']",83 days,51.5553678,-0.2864945
Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,555,8/25/2015,8.4,Corendon Vitality Hotel Amsterdam, United Arab Emirates , Nothing,2,4410, Very clean look throughout the hotel Friendly staff 24 7 snacks bar free wifi spacious rooms ,18,42,9.6,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 4 nights ']",709 day,52.3466449,4.8310984
Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,407,9/26/2016,7.3,Best Western Plus Hotel Blue Square, Sri Lanka ,No Negative,0,3161, Location is quite and calm can reach to Dam in a single Tram They even allowed us to check in early and arranged a room even before the agreed time ,32,3,8.8,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 1 night ']",311 day,52.3786823,4.8207833
117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,10/3/2016,7.8,Park International Hotel, United Kingdom , Rooms are small,4,1252, Comfortable room with good facilities,6,2,10.0,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",304 day,51.4945144,-0.1866172
Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,4/27/2016,9.0,art otel Amsterdam, Hong Kong ,No Negative,0,3158, Friendly and helpful staff ,6,2,8.8,"[' Leisure trip ', ' Couple ', ' Art King Room ', ' Stayed 9 nights ']",463 day,52.377743,4.897057
53 61 Southwark Bridge Road Southwark London SE1 9HH United Kingdom,233,2/13/2016,8.7,Novotel London City South, United Kingdom , The room service breakfast which should be a highlight was unremarkable ,13,917, The room facilities were great The bathroom was exceptional ,11,5,9.6,"[' Leisure trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",537 day,51.5054832,-0.0951196
4 Boulevard Brune 14th arr 75014 Paris France,91,5/25/2017,8.8,Novotel Suites Paris Expo Porte de Versailles, India , My wife s blouse is missing and could not be found,12,1250, Metro station Very close to the property,8,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Suite with Sofa Bed ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",70 days,48.827388,2.305478
